,f_c,root_depth,ET_p,ET_0,Kcb,ET_a,K_s,K_e,avg_h_c
30,0.21435816076715125,0.16666666666666669,5.658401964441875,5.046,0.6083333333333333,5.648227263537071,0.9966853872901456,0.5130305121763526,-1.096880274936972
31,0.23761415313725465,0.18000000000000002,5.831728757053351,4.882,0.63,5.831728757053351,1.0,0.5645368203714362,-0.9965142474459205
32,0.26094748647058796,0.19333333333333336,5.338289078001589,4.687,0.6516666666666666,5.338289078001589,1.0,0.48728982533281884,-1.0551928579130396
33,0.2842808198039213,0.2066666666666667,4.990820644710244,4.553,0.6733333333333333,4.776028702059224,0.9299367593608114,0.4228275813844886,-1.167542265547107
34,0.3059793441890069,0.22000000000000003,5.268216858947447,4.787,0.695,5.0046641950709585,0.9207828564843665,0.40552576957331266,-1.2081786266424381
35,0.3274642775069755,0.23400084807323862,4.653376248871957,4.271,0.7166666666666667,4.252425433248549,0.8690081352474256,0.3728618392738525,-1.284433836976316
36,0.3477411339960821,0.24823238286124857,5.018551826261675,4.689,0.7383333333333333,4.296078857163121,0.7913161241120341,0.331948566061351,-1.4004947198248359
37,0.3662051768920295,0.2615657161945819,5.328353082437758,4.484,0.76,5.328353082437758,1.0,0.4283035420244776,-1.1585246604118629
38,0.38953851022536284,0.2748990495279152,4.97777809341251,4.455,0.7816666666666666,4.61528769184263,0.89590563730557,0.3356797067143682,-1.2765421258660727
39,0.41044297509582617,0.2882323828612485,5.791199999999999,4.826,0.8033333333333332,5.791199999999999,1.0,0.3966666666666667,-1.0578312120140687
40,0.4337763084291595,0.30156571619458183,4.9740289459653395,4.335,0.825,4.966574074519935,0.9979155229959374,0.322411521560632,-1.153116563255073
41,0.45706100396573135,0.31489904952791514,5.980312199570442,5.134,0.8466666666666667,5.980312199570442,1.0,0.31817793784646947,-1.1413047316714549
42,0.48039433729906467,0.32823238286124845,5.093348677615652,4.308,0.8683333333333333,5.093348677615652,1.0,0.3139667311085544,-1.1122052044041697
43,0.503727670632398,0.34156571619458176,5.4312,4.526,0.8899999999999999,5.4312,1.0,0.31000000000000005,-0.9755944789297659
44,0.5270610039657313,0.35489904952791507,5.04589692483202,4.297,0.9116666666666666,5.04589692483202,1.0,0.2626170021329657,-1.0642838606613778
45,0.5503943372990646,0.3682323828612484,5.0004,4.167,0.9333333333333333,5.0004,1.0,0.2666666666666666,-1.060339114233768
46,0.5737276706323979,0.3815657161945817,6.3,5.25,0.955,6.3,1.0,0.245,-0.9880000034377069
47,0.5970610039657313,0.394899049527915,6.1212,5.101,0.9766666666666666,6.1212,1.0,0.22333333333333338,-0.9818658815059278
48,0.6203943372990646,0.4082323828612483,5.063721631923178,4.271,0.9983333333333333,5.063721631923178,1.0,0.18727229343397606,-1.0441161852634815
49,0.6437276706323979,0.4215657161945816,5.120100923567806,4.346,1.02,5.120100923567806,1.0,0.15811802198983096,-1.0916023661755647
50,0.6670610039657312,0.4348990495279149,5.877146371998831,4.947,1.0416666666666665,5.877146371998831,1.0,0.14635564422858946,-1.0947643192976175
51,0.6903943372990645,0.4482323828612482,4.8264000000000005,4.022,1.0633333333333332,4.8264000000000005,1.0,0.13666666666666671,-1.0030917662558867
52,0.7137276706323978,0.46156571619458153,6.0756,5.063,1.085,6.0756,1.0,0.11499999999999999,-1.0008118134878141
53,0.7370610039657312,0.47489904952791484,5.768400000000001,4.807,1.1066666666666665,5.768400000000001,1.0,0.09333333333333349,-1.0007007805089119
54,0.7603943372990645,0.48823238286124815,5.600917382251921,4.697,1.1283333333333334,5.600917382251921,1.0,0.06411235162555977,-1.0876420237215583
55,0.7837276706323978,0.5015657161945815,5.0472,4.206,1.15,5.0472,1.0,0.050000000000000044,-0.9968611976257158
56,0.7837276706323978,0.5015657161945815,5.909485481691861,4.937,1.15,5.909485481691861,1.0,0.04697903214337878,-1.070927791157415
57,0.7837276706323978,0.5015657161945815,7.035743457392489,5.871,1.15,7.035743457392489,1.0,0.048389279065319354,-1.082658110067707
