theta_evp,theta_4,theta_3,theta_2,theta_1,root_depth
0.2648324863062038,0.22132142533622098,0.23262771502796126,0.1937145703727731,0.19488644989719334,0.1
0.2165597644428521,0.22745597475366394,0.2314884284039194,0.19759542804905758,0.19478412645344975,0.1
0.18054044508334097,0.22736256249231848,0.23108804726630536,0.20100965209496768,0.19503754644745686,0.1
0.15783329299687118,0.2227424585080607,0.23071467436625223,0.20408110765479395,0.19559184642071725,0.11333333333333334
0.263101651970586,0.2174924888694292,0.22989258009222846,0.20685137856810637,0.19640310286312038,0.12666666666666668
0.21157328724594165,0.22414325019448042,0.22857159224407309,0.20930552651202522,0.19743222594788598,0.14280130493249824
0.17459408375285457,0.22299663612977835,0.22808902205194012,0.21141647819470577,0.1986391974100348,0.15613463826583157
0.15522645876631624,0.21638776873640275,0.2275141036848988,0.21330047268806518,0.19998115624869411,0.1694679715991649
0.26107401226522337,0.20912554193101457,0.22621138546707575,0.21496062048849837,0.20142812327398146,0.18280130493249824
0.2162516740906285,0.21448808228891006,0.22417002896796187,0.2163202741878365,0.20294987528377,0.19824598919407313
0.18650285392787055,0.21177094241494882,0.22296529053579084,0.21730051152927685,0.20450595765646465,0.21157932252740647
0.17126131835173775,0.20499564734474182,0.22154553392001688,0.21803012958751541,0.2060450481933914,0.2249126558607398
0.2804376168325045,0.19806893875461912,0.21947326272911524,0.21849534608477986,0.20753251246960805,0.23824598919407314
0.2454593367997517,0.20799524558084748,0.21691413802521786,0.21862743152862726,0.2089326375909687,0.2534328713462775
0.21172637288769836,0.20984191089591336,0.21576453243271537,0.21839333238210384,0.21020209472667084,0.2667662046796108
0.1867239022544267,0.20319836982480094,0.21498752426903683,0.218030514063938,0.2112965250538569,0.2800995380129441
0.2911456271279259,0.19410408932039208,0.21352227762436532,0.2176077613710011,0.2122106593221772,0.29343287134627744
0.24457576113157378,0.20290033408703156,0.21137790485521385,0.2170414305368814,0.2129521944948614,0.30835713137850873
0.20759439848032493,0.20198504340840037,0.21035720253574225,0.21626612309608398,0.21351851002683728,0.32169046471184204
0.18857616789889464,0.19435115196488656,0.20937060726556073,0.2154650065385313,0.21390030691527478,0.33502379804517535
0.2955476082098788,0.18546628348594876,0.20779919572891214,0.21464896958788324,0.21411772418582248,0.34835713137850866
0.25209458549765795,0.19596950509878316,0.20508540451430052,0.2137502730118242,0.21419132719213535,0.36337006707951214
0.22031434659172508,0.1985013029962017,0.20291244956349655,0.2126531538486498,0.21413058006751648,0.3776600462673755
0.1983637022692125,0.19335636794296576,0.20051888148805197,0.21146275632473402,0.2139290553745568,0.39204071873439056
0.3,0.19028223499491778,0.19766900294779816,0.21018056364858964,0.21359691325597557,0.40661963088584024
0.261475839231924,0.20135023144793796,0.19396685434601368,0.20878987966705148,0.213143983311247,0.4214587248752633
0.23094250158359433,0.2046573421547507,0.19144202465087498,0.20725518160250297,0.21257737865554063,0.4357748819247914
0.2101545870037636,0.20183419553951135,0.18939683005018446,0.20571268374811968,0.21189976032205737,0.4501685875766583
0.3,0.20678339178013747,0.1867748798683399,0.2042051823498116,0.21113053719873723,0.4647338000920036
0.26469287921626844,0.21317687967093651,0.18384026161151942,0.20269800863254556,0.21029077281248462,0.4795004059396839
0.23415289385756707,0.212177036093487,0.18141053483912742,0.2011862511073514,0.20939390640766783,0.4937650206168437
0.214287825505921,0.20798912109878612,0.17976845927903476,0.19970644391833853,0.20845053495698748,0.5081602754892613
0.3,0.2187697013628978,0.17825316514743922,0.19829186433136692,0.20747313275713705,0.522765564898046
0.2690338904618874,0.22141204576525209,0.17702369949622607,0.19693954898419838,0.2064750649964273,0.522765564898046
0.24220984454683908,0.21952600112502696,0.1764156691244319,0.1956518767175239,0.2054667812546153,0.522765564898046
0.21974076722186806,0.2139847589271889,0.17567497215327618,0.1944411709977594,0.20445689137491774,0.522765564898046
0.3,0.22325169647622048,0.17444587097653905,0.19329325218326368,0.20345340092102926,0.522765564898046
0.2707542647990161,0.2237169878480797,0.17445630974117599,0.19218504940412143,0.20246153489597124,0.522765564898046
0.24444790964670204,0.22061688847493618,0.1744469179244544,0.1911510470983892,0.20148358773402703,0.522765564898046
0.2220320907176141,0.21493299157336238,0.17413486598962308,0.19018375732676446,0.20052419578257138,0.522765564898046
0.3,0.2237522292464435,0.17283829569272277,0.1892668412032305,0.19958654162621034,0.522765564898046
0.2668476670476259,0.2190301193580134,0.17152741948584674,0.1883625834523374,0.19867196631141187,0.522765564898046
0.24144404918333762,0.21568827368599766,0.17122177312352987,0.1874708104793383,0.19777871597612132,0.522765564898046
0.22064078412378269,0.2110252845798922,0.17098172912042278,0.18662103463178029,0.19690528250684017,0.522765564898046
0.3,0.22143821457908044,0.1700629130548619,0.18581168269932757,0.19605249425912624,0.522765564898046
0.2698572679671078,0.2177166105817545,0.1694004396682608,0.1850187854703248,0.19522091466071262,0.522765564898046
0.24209540178427522,0.21236302002055346,0.16842756991440586,0.18424879139291744,0.19440934865425769,0.522765564898046
