train/learning_rate,train/critic_loss,rollout/ep_len_mean,time/time_elapsed,rollout/ep_rew_mean,train/actor_loss,time/total_timesteps,train/n_updates,time/fps,time/episodes
0.0003,0.9455299973487854,288.0,784,104.23306045999998,-22.65374183654785,190080,189979,242,660
0.0003,0.4397028684616089,288.0,795,106.25337628999999,-22.00391387939453,192960,192859,242,670
0.0003,8.497062683105469,288.0,807,108.2126845,-25.153316497802734,195840,195739,242,680
0.0003,0.3586409091949463,288.0,819,107.87129667,-22.90627670288086,198720,198619,242,690
0.0003,8.169242858886719,288.0,831,106.69532422,-23.113296508789062,201600,201499,242,700
0.0003,0.33281874656677246,288.0,843,107.81028338,-23.99797821044922,204480,204379,242,710
0.0003,2.654132127761841,288.0,855,110.35743348000001,-24.390987396240234,207360,207259,242,720
0.0003,3.1075439453125,288.0,867,111.89810315000001,-22.397302627563477,210240,210139,242,730
0.0003,2.3515357971191406,288.0,878,111.79726776,-24.952247619628906,213120,213019,242,740
0.0003,1.0274194478988647,288.0,890,110.51765236,-22.578208923339844,216000,215899,242,750
0.0003,2.4043805599212646,288.0,902,111.71824321,-22.293733596801758,218880,218779,242,760
0.0003,1.1116294860839844,288.0,914,110.23101718,-21.625524520874023,221760,221659,242,770
0.0003,0.3280954957008362,288.0,926,110.19528059999999,-24.003387451171875,224640,224539,242,780
0.0003,0.4468236565589905,288.0,938,110.28431768,-24.620582580566406,227520,227419,242,790
0.0003,3.8816542625427246,288.0,950,112.39791476000002,-23.9514217376709,230400,230299,242,800
0.0003,2.9296743869781494,288.0,962,112.72112192,-25.192989349365234,233280,233179,242,810
0.0003,0.35709601640701294,288.0,974,112.03521106,-24.40734100341797,236160,236059,242,820
0.0003,2.452660322189331,288.0,986,112.69881374999999,-24.84561538696289,239040,238939,242,830
0.0003,2.0519614219665527,288.0,998,113.65360059000002,-23.883201599121094,241920,241819,242,840
0.0003,0.3317020535469055,288.0,1010,115.16285598,-23.476530075073242,244800,244699,242,850
0.0003,4.280331611633301,288.0,1022,114.91712250000002,-26.347694396972656,247680,247579,242,860
0.0003,0.48801159858703613,288.0,1034,116.42699986,-24.460468292236328,250560,250459,242,870
0.0003,3.603637456893921,288.0,1046,115.24490822999998,-25.79905891418457,253440,253339,242,880
0.0003,2.4887137413024902,288.0,1058,115.54435466999999,-25.91791534423828,256320,256219,242,890
0.0003,6.210796356201172,288.0,1069,114.84334891,-26.610435485839844,259200,259099,242,900
0.0003,2.4254846572875977,288.0,1081,114.41430496000001,-25.885406494140625,262080,261979,242,910
0.0003,1.6926263570785522,288.0,1093,115.59618785999999,-24.33684539794922,264960,264859,242,920
0.0003,0.2701706886291504,288.0,1105,115.51440596,-26.25485610961914,267840,267739,242,930
0.0003,5.255248069763184,288.0,1117,114.18553283000001,-25.3228759765625,270720,270619,242,940
0.0003,10.785948753356934,288.0,1129,114.53722534999997,-24.771650314331055,273600,273499,242,950
0.0003,1.0506880283355713,288.0,1141,115.12671425000003,-25.814834594726562,276480,276379,242,960
0.0003,2.011807441711426,288.0,1153,116.22715389000001,-23.118078231811523,279360,279259,242,970
0.0003,1.684891939163208,288.0,1165,117.99981211000001,-26.802330017089844,282240,282139,242,980
0.0003,0.32857805490493774,288.0,1176,118.32833103000002,-24.44796371459961,285120,285019,242,990
0.0003,3.129577159881592,288.0,1188,119.77124166999997,-26.333127975463867,288000,287899,242,1000
0.0003,5.059994220733643,288.0,1200,119.50846098000002,-25.461944580078125,290880,290779,242,1010
0.0003,0.5044618844985962,288.0,1212,118.12630266999999,-25.092679977416992,293760,293659,242,1020
0.0003,0.5640340447425842,288.0,1224,118.02507862,-25.218902587890625,296640,296539,242,1030
0.0003,0.9824451208114624,288.0,1236,117.84977497000001,-25.37136459350586,299520,299419,242,1040
0.0003,0.39912861585617065,288.0,1248,116.98811804000003,-26.503833770751953,302400,302299,242,1050
0.0003,1.6626118421554565,288.0,1260,116.53747736,-25.14325523376465,305280,305179,242,1060
0.0003,3.1428897380828857,288.0,1272,115.02992174,-24.980899810791016,308160,308059,242,1070
0.0003,1.9524675607681274,288.0,1284,113.65793509000002,-24.961458206176758,311040,310939,242,1080
0.0003,0.6794476509094238,288.0,1296,111.59559325000001,-25.87610626220703,313920,313819,242,1090
0.0003,1.347569465637207,288.0,1307,109.95095438999999,-23.21070098876953,316800,316699,242,1100
0.0003,2.800642967224121,288.0,1319,110.19887978999999,-23.570384979248047,319680,319579,242,1110
0.0003,2.4078054428100586,288.0,1331,111.71025588999998,-25.49313735961914,322560,322459,242,1120
0.0003,0.23886746168136597,288.0,1343,110.82178959000001,-25.300891876220703,325440,325339,242,1130
0.0003,2.3523025512695312,288.0,1355,110.15270794,-24.48073387145996,328320,328219,242,1140
0.0003,2.504321575164795,288.0,1367,110.04018026,-23.50437355041504,331200,331099,242,1150
0.0003,0.41138845682144165,288.0,1379,110.25786762000003,-24.086172103881836,334080,333979,242,1160
0.0003,1.4392058849334717,288.0,1391,110.83621932,-24.876529693603516,336960,336859,242,1170
0.0003,2.118455410003662,288.0,1402,111.95618642000001,-27.4055118560791,339840,339739,242,1180
0.0003,1.0768743753433228,288.0,1414,114.37674120999998,-23.62955093383789,342720,342619,242,1190
0.0003,1.4588433504104614,288.0,1426,115.25308294,-24.43695831298828,345600,345499,242,1200
0.0003,0.5406092405319214,288.0,1438,115.8417405,-27.38018035888672,348480,348379,242,1210
0.0003,4.700394153594971,288.0,1450,116.3519487,-25.69241714477539,351360,351259,242,1220
0.0003,7.90563440322876,288.0,1462,115.96670858000002,-23.990018844604492,354240,354139,242,1230
