train/ent_coef,train/learning_rate,train/critic_loss,rollout/ep_len_mean,time/time_elapsed,rollout/ep_rew_mean,train/actor_loss,time/total_timesteps,train/n_updates,train/ent_coef_loss,time/fps,time/episodes
0.006463403347879648,0.0003,1.2392265796661377,288.0,360,99.05737509000001,-22.854976654052734,48960,48859,-1.0833768844604492,135,170
0.00722070038318634,0.0003,1.1433686017990112,288.0,380,102.02642154000002,-23.454723358154297,51840,51739,2.0982460975646973,136,180
0.0076734391041100025,0.0003,0.16764035820960999,288.0,401,103.59145854000002,-24.53183364868164,54720,54619,0.9994013905525208,136,190
0.007244618143886328,0.0003,1.9336652755737305,288.0,423,104.59897758999999,-24.019207000732422,57600,57499,0.38054031133651733,136,200
0.007111907005310059,0.0003,0.47306448221206665,288.0,444,106.55884594999998,-24.673980712890625,60480,60379,0.3015233278274536,136,210
0.007553724572062492,0.0003,0.12782998383045197,288.0,465,106.80678273000001,-24.129417419433594,63360,63259,-0.8724440336227417,136,220
0.00709515018388629,0.0003,0.4422767162322998,288.0,486,109.15406446000001,-24.126863479614258,66240,66139,0.5435701608657837,136,230
0.007086139637976885,0.0003,0.39578813314437866,288.0,508,110.74930748999999,-25.587692260742188,69120,69019,0.8134518265724182,136,240
0.007067856378853321,0.0003,2.248403549194336,288.0,529,110.46717222,-24.1717586517334,72000,71899,0.745230495929718,135,250
0.006892317906022072,0.0003,0.20389175415039062,288.0,550,109.38449506,-25.935291290283203,74880,74779,0.3771718740463257,135,260
0.006851080805063248,0.0003,0.30006861686706543,288.0,572,108.47578008999999,-23.83447265625,77760,77659,1.0826643705368042,135,270
0.007289474364370108,0.0003,0.14720416069030762,288.0,593,106.7999684,-24.809715270996094,80640,80539,0.4118838310241699,135,280
0.006886483170092106,0.0003,1.213991641998291,288.0,615,106.1971326,-26.426067352294922,83520,83419,2.3310251235961914,135,290
0.006334498059004545,0.0003,0.11575907468795776,288.0,636,107.50619943999999,-25.17491340637207,86400,86299,-0.1893538236618042,135,300
0.006827512290328741,0.0003,0.9400489330291748,288.0,657,107.61243103999999,-26.564350128173828,89280,89179,0.9689488410949707,135,310
0.006820997688919306,0.0003,1.2269325256347656,288.0,678,107.81372499999999,-25.725486755371094,92160,92059,-0.36580154299736023,135,320
0.006618713494390249,0.0003,0.1521373689174652,288.0,700,109.41997571999998,-24.43134117126465,95040,94939,0.49996355175971985,135,330
0.0069078439846634865,0.0003,1.47274649143219,288.0,721,108.79769037000001,-25.510751724243164,97920,97819,-0.1660681515932083,135,340
0.0073089622892439365,0.0003,0.8482869863510132,288.0,742,108.60365013,-27.283267974853516,100800,100699,0.23281434178352356,135,350
0.006752781569957733,0.0003,0.35267287492752075,288.0,763,108.06892493,-25.050582885742188,103680,103579,1.1784954071044922,135,360
0.006455511786043644,0.0003,0.10689608007669449,288.0,784,108.24223908,-28.27117347717285,106560,106459,0.09867122769355774,135,370
0.00708445068448782,0.0003,0.2395697981119156,288.0,806,110.31807891,-27.075220108032227,109440,109339,-0.7389228343963623,135,380
0.006606117356568575,0.0003,0.22455081343650818,288.0,827,111.81711672,-25.674972534179688,112320,112219,-1.0714555978775024,135,390
0.00649303337559104,0.0003,0.8287457823753357,288.0,848,112.04804092,-26.4227294921875,115200,115099,-0.07220292091369629,135,400
0.006631400901824236,0.0003,0.23444435000419617,288.0,870,111.70627076,-27.776514053344727,118080,117979,-0.45780280232429504,135,410
0.006643829867243767,0.0003,1.615347146987915,288.0,891,112.72951852999999,-26.506439208984375,120960,120859,0.22783373296260834,135,420
0.006682362873107195,0.0003,0.2823689579963684,288.0,912,113.22267370000002,-27.567941665649414,123840,123739,0.08275938034057617,135,430
0.006203932221978903,0.0003,0.24779586493968964,288.0,934,113.94286050999999,-27.29442024230957,126720,126619,-0.5564916133880615,135,440
0.0064005423337221146,0.0003,0.1544436812400818,288.0,955,114.74925504000001,-28.54051399230957,129600,129499,0.7260371446609497,135,450
0.005982244852930307,0.0003,0.6051101684570312,288.0,976,116.41344626,-27.49510955810547,132480,132379,-0.6615775227546692,135,460
0.006078256759792566,0.0003,0.32930776476860046,288.0,997,117.39760883000001,-26.78241729736328,135360,135259,1.339341402053833,135,470
