,mean_episode_rewards,std_episode_rewards,episodes,Q_values_policy,Q_values_target,steps,action_randomness
513,-1.804195761680603,2.7589869499206543,513,-1.8798787593841553,-1.816087007522583,143.0,0.5664335664335665
514,-2.0279719829559326,2.76072359085083,514,-2.0428762435913086,-1.9917006492614746,143.0,0.5174825174825175
515,-2.293706178665161,2.8106493949890137,515,-1.7411210536956787,-1.7146821022033691,143.0,0.5454545454545454
516,-1.0349650382995605,2.484673500061035,516,-2.0314900875091553,-2.00612211227417,143.0,0.5594405594405595
517,-1.0909091234207153,2.732628583908081,517,-2.6422815322875977,-2.610346794128418,143.0,0.5384615384615384
518,-2.2657341957092285,2.7784159183502197,518,-2.693331718444824,-2.665916681289673,143.0,0.5594405594405595
519,-2.7482516765594482,2.6693508625030518,519,-2.1160483360290527,-2.0729568004608154,143.0,0.5944055944055944
520,-1.1398601531982422,2.3670270442962646,520,-1.8960051536560059,-1.8624969720840454,143.0,0.5734265734265734
521,-2.916083812713623,3.29970645904541,521,-2.416719675064087,-2.3736722469329834,143.0,0.5944055944055944
522,-1.8951048851013184,3.0398592948913574,522,-1.8724033832550049,-1.8447328805923462,143.0,0.6293706293706294
523,-1.9440559148788452,2.7117362022399902,523,-2.1566102504730225,-2.1082265377044678,143.0,0.5664335664335665
524,-2.5174825191497803,2.7375991344451904,524,-2.0801727771759033,-2.0273172855377197,143.0,0.5594405594405595
525,-1.734265685081482,2.7199110984802246,525,-1.5611572265625,-1.5036712884902954,143.0,0.5804195804195804
526,-1.9160839319229126,2.6271750926971436,526,-1.3440563678741455,-1.2891972064971924,143.0,0.5314685314685315
527,-2.5734264850616455,2.873776912689209,527,-2.1710643768310547,-2.1378087997436523,143.0,0.5244755244755245
528,-1.4475524425506592,2.812753677368164,528,-2.8039774894714355,-2.7641499042510986,143.0,0.5174825174825175
529,-1.4335664510726929,2.729172706604004,529,-1.617748737335205,-1.5787684917449951,143.0,0.5594405594405595
530,-1.7692307233810425,2.598257303237915,530,-1.036971092224121,-0.9926811456680298,143.0,0.5524475524475524
531,-2.153846263885498,2.923996925354004,531,-2.4441018104553223,-2.427680492401123,143.0,0.5524475524475524
532,-1.4335664510726929,2.680046319961548,532,-2.611806631088257,-2.569777011871338,143.0,0.5524475524475524
533,-1.1048951148986816,2.5875258445739746,533,-2.115908622741699,-2.075305700302124,143.0,0.5314685314685315
534,-1.2867132425308228,2.852118492126465,534,-2.347561836242676,-2.3341927528381348,143.0,0.5034965034965035
535,-1.4195804595947266,2.6692042350769043,535,-2.2102832794189453,-2.202014923095703,143.0,0.5384615384615384
536,-1.8321678638458252,2.720001220703125,536,-2.2826061248779297,-2.276157855987549,143.0,0.5944055944055944
537,-0.8881118893623352,2.335810661315918,537,-2.312472105026245,-2.324732542037964,143.0,0.5104895104895105
538,-1.6433566808700562,2.4219439029693604,538,-1.9189221858978271,-1.9604880809783936,143.0,0.6083916083916084
539,-2.7902097702026367,2.7452518939971924,539,-1.8543198108673096,-1.881517767906189,143.0,0.5734265734265734
540,-2.1048951148986816,2.974749803543091,540,-1.9282013177871704,-1.9614781141281128,143.0,0.5034965034965035
541,-2.4965035915374756,2.6255178451538086,541,-1.5725609064102173,-1.5981422662734985,143.0,0.5524475524475524
542,-1.685314655303955,2.6666014194488525,542,-1.9307987689971924,-1.9579250812530518,143.0,0.5244755244755245
543,-1.7132867574691772,2.8667914867401123,543,-2.6451363563537598,-2.677399158477783,143.0,0.6153846153846154
544,-1.9370629787445068,2.4953575134277344,544,-1.9356815814971924,-1.9633548259735107,143.0,0.5594405594405595
545,-2.755244731903076,2.9045822620391846,545,-2.2708511352539062,-2.3014726638793945,143.0,0.5664335664335665
546,-1.377622365951538,2.622666597366333,546,-2.2776567935943604,-2.3035974502563477,143.0,0.5454545454545454
547,-1.9720280170440674,2.9776418209075928,547,-2.257702112197876,-2.2959742546081543,143.0,0.5314685314685315
548,-2.0489511489868164,2.868514060974121,548,-2.710141658782959,-2.7515292167663574,143.0,0.5874125874125874
549,-1.1328670978546143,2.517735004425049,549,-2.1663031578063965,-2.1940231323242188,143.0,0.5734265734265734
550,-1.7832168340682983,2.81390118598938,550,-1.5517797470092773,-1.5794354677200317,143.0,0.5384615384615384
551,-1.2097902297973633,2.4689769744873047,551,-2.127962589263916,-2.1573097705841064,143.0,0.5454545454545454
552,-1.5104894638061523,2.636131763458252,552,-1.709407091140747,-1.7421801090240479,143.0,0.5244755244755245
553,-2.846153736114502,3.224269151687622,553,-1.9876649379730225,-2.0189499855041504,143.0,0.5314685314685315
554,-2.0,2.825953722000122,554,-2.056821346282959,-2.0814714431762695,143.0,0.6013986013986014
555,-1.6013985872268677,2.743434190750122,555,-1.9214529991149902,-1.9425482749938965,143.0,0.6013986013986014
556,-1.3216782808303833,2.5953197479248047,556,-2.58322811126709,-2.6258115768432617,143.0,0.5314685314685315
557,-1.993006944656372,2.7468903064727783,557,-2.0680813789367676,-2.1050913333892822,143.0,0.5594405594405595
558,-2.846153736114502,2.7310893535614014,558,-2.689595937728882,-2.7147040367126465,143.0,0.5944055944055944
559,-1.9440559148788452,2.6279194355010986,559,-1.7695270776748657,-1.7909584045410156,143.0,0.5664335664335665
560,-1.5524475574493408,2.752439022064209,560,-1.8563973903656006,-1.8916165828704834,143.0,0.5734265734265734
561,-2.3986012935638428,2.9259862899780273,561,-1.7671281099319458,-1.807803988456726,143.0,0.5594405594405595
562,-1.5874125957489014,2.666363000869751,562,-1.9821810722351074,-2.0235276222229004,143.0,0.4965034965034965
563,-1.8391607999801636,2.682891607284546,563,-2.1325201988220215,-2.1806578636169434,143.0,0.5244755244755245
564,-2.0489511489868164,2.6689844131469727,564,-1.1029958724975586,-1.1354453563690186,143.0,0.5384615384615384
565,-2.090909004211426,2.8820860385894775,565,-2.2645726203918457,-2.3115615844726562,143.0,0.46153846153846156
566,-1.3426573276519775,2.423962354660034,566,-0.9437810778617859,-0.978510856628418,143.0,0.5804195804195804
567,-1.8671329021453857,2.8388853073120117,567,-2.08016037940979,-2.1299076080322266,143.0,0.5244755244755245
