,mean_rewards,std_rewards,values_q_net,values_target_net
321,-0.8010011,0.6067939,0,0
322,-0.36329,0.5536048,0,0
323,0.37084746,0.35613942,0,0
324,0.20529741,0.77076226,0,0
325,-0.2731733,0.88393825,0,0
326,0.25676057,0.5907302,0,0
327,0.012030928,0.75846475,0,0
328,0.088133514,0.78120834,0,0
329,0.12340257,0.50318867,0,0
330,-0.14019917,0.66319793,0,0
331,0.35499066,0.8292882,0,0
332,-5.875161,3.249135,0,0
333,-0.34930456,0.6967126,0,0
334,0.19776292,0.95135796,0,0
335,0.24669138,0.6271251,0,0
336,-0.13781358,0.7152429,0,0
337,0.010378662,0.70110357,0,0
338,0.16051318,1.0135286,0,0
339,-0.30069515,0.9273448,0,0
340,-1.8621465,1.9252918,0,0
341,0.12664324,0.7616411,0,0
342,0.64152014,0.5692889,0,0
343,-10.422525,12.436672,0,0
344,-0.24044158,0.51331925,0,0
345,0.08522572,0.7192222,0,0
346,-0.046813965,0.78789186,0,0
347,-0.6562957,0.8773742,0,0
348,-0.5225059,0.71740067,0,0
349,-0.1931792,0.68229073,0,0
350,-0.16800468,0.6762899,0,0
351,0.56210554,0.4134845,0,0
352,0.024135897,0.5731701,0,0
353,0.12082768,0.5949183,0,0
354,0.49686953,0.7804796,0,0
355,-0.049818914,0.6771385,0,0
356,-0.37594894,0.8494853,0,0
357,-0.38933015,1.15311,0,0
358,-3.7893445,1.9048027,0,0
359,-0.12750316,0.5863493,0,0
360,0.26108652,0.75670946,0,0
361,-0.29051688,0.89193594,0,0
362,0.20973575,0.36229926,0,0
363,-0.24852648,0.7593481,0,0
364,-0.1337052,0.5156031,0,0
365,0.15002716,0.5831674,0,0
366,0.5604714,0.41254234,0,0
367,-0.10880445,0.7671963,0,0
368,-0.16783632,0.72298414,0,0
369,-0.35748807,0.67939836,0,0
370,0.0511646,0.4099693,0,0
371,0.56408477,0.7236854,0,0
372,-0.40850905,0.7579525,0,0
373,-0.16478993,0.49688438,0,0
374,-0.4047102,1.0751802,0,0
375,-0.5639862,0.89316887,0,0
376,0.62871206,0.30694088,0,0
377,-0.11925416,0.5124599,0,0
378,0.19008058,0.7689467,0,0
379,0.13440612,0.44638512,0,0
380,0.25353503,0.6524638,0,0
381,0.2550386,0.7035532,0,0
382,0.04560948,0.6043394,0,0
383,0.1074698,0.6776483,0,0
384,0.37581038,0.7703356,0,0
385,0.54664177,0.37763956,0,0
386,-0.3975872,0.8404015,0,0
387,0.27001244,0.5632709,0,0
388,0.13007958,0.34118226,0,0
389,-0.01529836,0.54672027,0,0
390,0.2951229,0.55595064,0,0
391,0.20851538,0.9159594,0,0
392,0.16738503,0.51676637,0,0
393,-0.24917711,0.78689027,0,0
394,0.043076362,0.5591113,0,0
395,0.30630812,0.5615926,0,0
396,0.45162094,0.78970385,0,0
397,0.22959484,0.42042762,0,0
398,0.29930204,0.4584927,0,0
399,0.2912757,0.8076321,0,0
400,0.2200016,0.7011201,0,0
401,0.23803791,0.737247,0,0
402,-1.8089275,2.6155486,0,0
403,0.22373791,0.47967497,0,0
404,-0.2857248,0.66499436,0,0
405,0.26733285,0.59132797,0,0
406,0.17024879,1.010964,0,0
407,0.22891977,0.6985695,0,0
408,0.14119172,0.7265414,0,0
409,0.51480263,0.661431,0,0
410,-1.0066512,0.7226654,0,0
411,0.20338333,0.5265784,0,0
412,0.008898555,0.47331253,0,0
413,0.050508764,0.41824168,0,0
414,-0.023095991,0.6107259,0,0
415,0.044632643,0.29547572,0,0
416,-0.3669033,0.7323503,0,0
417,-0.34391695,0.4773032,0,0
418,0.02094098,0.5466894,0,0
419,-0.18118033,0.62214476,0,0
420,0.040412642,0.6390567,0,0
421,-0.38936865,0.5866067,0,0
422,0.04746768,1.0163152,0,0
423,-0.060842395,0.53283715,0,0
424,-0.0064951624,0.5280403,0,0
425,-0.2208796,0.5128552,0,0
426,0.36015135,0.8046121,0,0
427,-4.0706487,2.4263978,0,0
428,-0.025591576,0.82073116,0,0
429,0.167573,0.34847552,0,0
430,-47.56278,35.67946,0,0
431,-0.21119183,0.84359723,0,0
432,-0.4627196,0.8602098,0,0
433,-0.209209,0.44433096,0,0
434,-0.057800174,0.7924681,0,0
435,-0.0058972817,0.837546,0,0
436,-0.11951009,0.582233,0,0
437,0.27659568,0.6761261,0,0
438,-0.31747377,0.43762866,0,0
439,0.27765337,0.63466895,0,0
440,0.035298396,0.51323324,0,0
441,0.071947604,0.73862886,0,0
442,-0.07102183,0.5325814,0,0
443,0.27866456,0.54989696,0,0
444,0.24432765,0.55108017,0,0
445,0.15768287,0.68606865,0,0
446,-0.41282997,0.7266926,0,0
447,-0.11180696,0.38102394,0,0
448,0.20414414,0.38086334,0,0
449,-1.5369328,1.3008388,0,0
450,0.12045371,0.35635164,0,0
451,0.57075274,0.611063,0,0
452,0.6811344,0.68308896,0,0
453,0.43491834,0.6195258,0,0
454,0.109917365,0.66982615,0,0
455,-0.33421892,0.63050395,0,0
456,0.33479005,0.77477616,0,0
457,0.16346963,0.503262,0,0
458,0.17139062,0.45740828,0,0
459,0.63232857,0.63910455,0,0
460,0.46682942,0.44280848,0,0
461,-0.1462656,0.6182687,0,0
462,0.34789956,0.64835906,0,0
463,0.054034628,0.77581227,0,0
464,-0.17683554,0.65866303,0,0
465,0.08123959,0.6127762,0,0
466,0.26657137,0.65967625,0,0
467,-0.0577262,0.6581781,0,0
468,0.43049642,0.40765733,0,0
469,0.4604619,0.6757711,0,0
470,0.47255722,0.6808523,0,0
471,0.2868334,0.517769,0,0
472,0.12239779,0.29003304,0,0
473,0.19809306,0.54079425,0,0
474,0.23761635,0.8013667,0,0
475,0.17250942,0.5267605,0,0
476,0.17562684,0.620269,0,0
477,0.5052049,0.38419455,0,0
478,-1.5321325,1.5619266,0,0
479,0.35530102,0.5154098,0,0
480,-0.085213535,0.7175513,0,0
481,0.2202286,0.6840493,0,0
482,-0.006802736,0.7326076,0,0
483,0.11546766,0.5736603,0,0
484,0.30204302,0.44208223,0,0
485,0.4716961,0.495434,0,0
486,0.11096475,0.32584235,0,0
487,0.4598814,0.63360083,0,0
488,-0.38481534,0.7635805,0,0
489,0.19050592,0.58647656,0,0
490,0.32509547,0.35842407,0,0
491,0.25788864,0.29133284,0,0
492,0.5484696,0.4920666,0,0
493,0.26477173,0.52139336,0,0
494,-0.40748596,0.7244995,0,0
495,0.12690017,0.47810662,0,0
496,0.12136647,0.52421284,0,0
497,0.31691203,0.4533126,0,0
498,0.14216875,0.68128926,0,0
499,0.42535645,0.54063666,0,0
500,-0.05352675,0.64750266,0,0
501,0.21439962,0.35970968,0,0
502,0.077309765,0.33464542,0,0
503,0.6329938,0.17202526,0,0
504,0.06599177,0.4434052,0,0
505,0.42394963,0.45273706,0,0
506,-0.14087434,0.54559344,0,0
507,0.45103812,0.65560806,0,0
508,0.44890377,0.2150135,0,0
509,0.11836524,0.5119067,0,0
510,0.50681,0.39158264,0,0
511,-0.78921205,0.7385862,0,0
