,mean_episode_rewards,std_episode_rewards,episodes,steps
367,-841.5217239074557,1195.3580533375618,367,288.0
368,-808.1964138407725,1147.0107096799559,368,288.0
369,-770.5224579271894,1143.3579317894853,369,288.0
370,-830.0624381664918,1048.344729854687,370,288.0
371,-714.6548294478158,1084.313970381131,371,288.0
372,-734.0518852330553,1159.3685020905803,372,288.0
373,-940.6764612638456,1154.3583245748598,373,288.0
374,-786.3648160941541,1088.5206441861606,374,288.0
375,-796.1082145736109,1098.0878723352462,375,288.0
376,-782.6824314458668,1111.6205062913489,376,288.0
377,-837.7517391197774,1100.3326969305924,377,288.0
378,-772.7323601753518,1090.7452291108084,378,288.0
379,-768.9298881764107,1169.973017060774,379,288.0
380,-759.6225278051552,1038.4068819460283,380,288.0
381,-716.8258213784835,1044.895433327533,381,288.0
382,-798.1775742812715,1155.4610940381299,382,288.0
383,-676.5496580401149,1123.6404820459345,383,288.0
384,-773.3685205766619,1077.5720008974733,384,288.0
385,-654.5655064851543,1040.45749199122,385,288.0
386,-827.247538106917,1119.2629510606025,386,288.0
387,-820.8487345838961,1107.5353123461791,387,288.0
388,-716.6357320315266,1131.1808184549811,388,288.0
389,-737.276175463826,1125.958752649803,389,288.0
390,-898.3558920236653,1267.8600892176148,390,288.0
391,-674.7326753498884,1135.2981559831862,391,288.0
392,-802.5248398948642,1118.5568535551668,392,288.0
393,-594.0088150613842,1090.1159373537225,393,288.0
394,-611.9098612861281,1099.469666408243,394,288.0
395,-801.0409550653102,1046.8868548507776,395,288.0
396,-655.7943856528494,1057.791932775459,396,288.0
397,-823.6180014589694,1117.4426347365213,397,288.0
398,-663.8243576918074,1014.891769494498,398,288.0
399,-656.9982212561919,1046.4301826373128,399,288.0
400,-783.3301809008119,1050.4589722381106,400,288.0
401,-558.8099154997105,1096.539840051804,401,288.0
402,-787.0472297614616,1128.4641704222975,402,288.0
403,-792.5956750168498,1176.5017038151832,403,288.0
404,-703.4270094256082,1077.0351075528051,404,288.0
405,-589.0263029786469,1098.5448102301148,405,288.0
406,-806.2000962187631,1073.9155500580052,406,288.0
407,-814.1337624119071,1138.0720990640157,407,288.0
408,-772.4031097345464,1096.3068698489376,408,288.0
409,-675.7598963053993,1048.5304598192079,409,288.0
410,-848.9077518717592,1094.2944903322418,410,288.0
411,-733.273259234405,1084.3236177712824,411,288.0
412,-650.0390011032603,1039.1657955842556,412,288.0
413,-775.2040295356666,1081.350995095801,413,288.0
414,-699.6598953323768,1120.787681322733,414,288.0
415,-748.6454632981981,1124.280509185063,415,288.0
416,-751.258729821485,1203.4928028079917,416,288.0
417,-769.1423370069936,1102.5133653409794,417,288.0
418,-655.2052714497398,1095.9987447021642,418,288.0
419,-787.0125744276198,1057.5076112229349,419,288.0
420,-731.1330649690104,1070.8500496949796,420,288.0
421,-752.4666372617529,1149.3187520318238,421,288.0
422,-594.6851243632693,1093.8074828339595,422,288.0
423,-818.232072311419,1175.164725306971,423,288.0
424,-640.8027468353754,1060.8753682309666,424,288.0
425,-804.756897326323,1051.9004805555812,425,288.0
426,-611.9324000338846,1055.3153817479556,426,288.0
427,-809.4690090113368,1151.730263104417,427,288.0
428,-724.5342374389004,1043.5792626116672,428,288.0
429,-765.8594966460173,1117.6847980965447,429,288.0
430,-759.0942049653742,1176.235415237092,430,288.0
431,-823.8163813038913,1098.784111156341,431,288.0
432,-784.8594152031728,1088.24722492707,432,288.0
433,-843.3415792468586,1078.1053205980224,433,288.0
434,-766.2109847975343,1053.0266630486317,434,288.0
435,-682.130673011554,1128.09386164429,435,288.0
436,-745.1442272442697,1036.8732898142698,436,288.0
437,-713.7184234438694,1059.4742365021957,437,288.0
438,-760.7547392767914,1084.073712461676,438,288.0
439,-730.2960581240619,1069.703494875537,439,288.0
440,-798.6829531407627,1174.2409105294125,440,288.0
441,-726.108403488523,1061.0325606430602,441,288.0
442,-720.1404315328624,1087.0293952060686,442,288.0
443,-732.7812885848933,1126.0546166963331,443,288.0
444,-692.028256140963,1020.881422744176,444,288.0
445,-672.5823741179773,1037.9038774676246,445,288.0
446,-723.9080902000923,1009.1763055480397,446,288.0
447,-764.6287345831165,1129.8229281291228,447,288.0
448,-734.4587985439225,1078.7389333896995,448,288.0
449,-886.764332679799,1200.0726348523028,449,288.0
450,-775.4307712033964,1056.3050711360727,450,288.0
451,-804.1679243558971,1122.5477011667106,451,288.0
452,-665.3402759419137,1044.49354484682,452,288.0
453,-688.3821436422608,1018.468495484135,453,288.0
454,-701.6776473410113,1120.0143499489282,454,288.0
455,-780.3845123672542,1079.2327665866064,455,288.0
456,-858.1497719339615,1183.4349931461152,456,288.0
457,-608.8169525565128,1001.1318728219067,457,288.0
458,-805.1170948102646,1048.5682893140283,458,288.0
